检查项目 | 英文名 | 别名 | 分类 

白细胞数 | White Blood Cell count | WBC | 临床血液检查
脑脊液IgG/白蛋白比值 | Protein Electrophoresis of CSF |   | 体液和排泄物检查
脑脊液葡萄糖 | Glucose of GSF |   | 体液和排泄物检查
脑脊液葡萄糖和血清葡萄糖比值 | Glucose of GSF | C/B | 体液和排泄物检查
脑脊液氯化物 | Chloride CSF |   | 体液和排泄物检查
组织纤维溶酶原激活物(t-PA) | Tissue Plasminogen Activator Activity | t-PA | 临床血液检查
脑脊液非蛋白氮 | onprotein nitregen | NPN | 体液和排泄物检查
脑脊液细胞计数 | onprotein nitregen | cell | 体液和排泄物检查
脑脊液细胞分类计数 | onprotein nitregen |   | 体液和排泄物检查
脑脊液细菌培养 | onprotein nitregen |   | 体液和排泄物检查
脑脊液隐血试验 | onprotein nitregen |   | 体液和排泄物检查
脑脊液无机磷 | onprotein nitregen |   | 体液和排泄物检查
脑脊液谷氨酰胺 | glutamine |   | 体液和排泄物检查
脑脊液氨基酸 | Amino Acid CSF |   | 体液和排泄物检查
脑脊液色氨酸试验 | Amino Acid CSF | TrpT | 体液和排泄物检查
李文生试验 | Levinson |   | 体液和排泄物检查
血小板活化因子 | Platelet activating factor | PAF | 临床血液检查
脑脊液铁 | iron ferrum | Fe | 体液和排泄物检查
脑脊液钾 | otassium K | K＋ | 体液和排泄物检查
脑脊液钠 | Sodium Na | Na | 体液和排泄物检查
脑脊液钙 | Calcium Ca | Ca | 体液和排泄物检查
脑脊液镁 | Magnesium，Mg | Mg | 体液和排泄物检查
脑脊液铜 | Magnesium，Mg |   | 体液和排泄物检查
脑脊液铅 | Magnesium，Mg |   | 体液和排泄物检查
脑脊液囊虫病间接血球凝集试验 | Magnesium，Mg | IHAT | 体液和排泄物检查
脑脊液(Kahn)氏沉淀试验 | Magnesium，Mg | 脑脊液康华氏反应 | 体液和排泄物检查
脑脊液梅毒血清补体结合反应 | Magnesium，Mg |   | 体液和排泄物检查
α2-纤溶酶抑制物活性 | α2-Plasmin inhibiton Activity | α2-PI∶A | 临床血液检查
脑脊液胶体金试验 | α2-Plasmin inhibiton Activity |   | 体液和排泄物检查
脑脊液乳酸 | lactic acid CSF | LAC | 体液和排泄物检查
脑脊液乳酸脱氢酶 | lactic acid CSF |   | 体液和排泄物检查
脑脊液异柠檬酸脱氢酶 | lactic acid CSF | ICD | 体液和排泄物检查
脑脊液肌酸激酶 | Creatine Kinase CSF | CK | 体液和排泄物检查
脑脊液5-羟吲哚乙酸 | Creatine Kinase CSF | 5-HT | 体液和排泄物检查
脑脊液酸碱度值 | Creatine Kinase CSF | H | 体液和排泄物检查
脑脊液氧分压(PO2)和二氧化碳分压(PCO2) | Creatine Kinase CSF | PO2和PCO2 | 体液和排泄物检查
脑脊液环磷腺苷 | Creatine Kinase CSF | cAMP | 体液和排泄物检查
脑脊液环磷鸟苷 | Creatine Kinase CSF | cGMP | 体液和排泄物检查
