中医百科

Asian toddalia root (bark) - 飞龙掌血
six climatic factors - 六气
five zang viscera - 五脏
visceral manifestations - 脏象
zang-fu viscera - 脏腑
seven emotions - 七情
	traditional Chinese medicine - 中医学
Chinese materia medica - 中药学
integration of traditional and western medicine - 中西医结合
traditional Chinese medicine and pharmacology - 中医药学
illness of child viscera affecting the mother one - 子病及母
illness of mother viscera affecting the child one - 母病及子
wood generating fire - 木生火
fire generating earth - 火生土
earth generating metal - 土生金
metal generating water - 金生水
water generating wood - 水生木
mutual restriction of five phases - 五行相克
over-restriction of five phases - 五行相乘
doctrine of five evolutive phases and six climatic factors - 运气学说
five evolutive phases - 五运
vitamins               - 维生素
scallion               - 菜伯
sandal               - 檀
scallion               - 葱
sandalwood               - 檀香
feel               - 摸
female               - 女
female infertility              - 女子绝子
female genitals              - 女性生殖器
female infertility              - 妇人绝子
female               - 牝
femoral artery              - 股动脉
femur               - 大楗骨
femur               - 大腿骨
femur               - 髀骨
fence               - 篱
fennel [fruit]              - 土茴香
fight               - 抗
fight               - 斗
fennel               - 茴
filariasis               - 丝虫病
file               - 剉
file               - 锉
firefly               - 萤
firefly               - 萤火
fetus               - 胎儿
filial piety              - 孝
filiform needle              - 毫针
final stage              - 后期
fear               - 怕
extinguish               - 灭
fear of water             - 恐水
fall               - 下陷
fear               - 惕
extraordinary               - 奇
fall               - 垂
fear               - 畏
fall               - 落
fear of people             - 畏人
fearful               - 忡
fearful               - 怔
eye disease              - 眼疾
fall               - 跌
fearing               - 相畏
eye               - 眼睛
eye symptoms              - 眼科症状
febrile disease              - 热性病
eye patterns              - 眼科证候
febrile disease              - 热病
fallopian tubes              - 输卵管
fecal               - 大便
eyeball               - 目珠
herba Scutellariae barbatae - 半枝莲
Hedyotis diffusa - 白花蛇舌草
rice bean              - 赤小豆
have               - 有
hay fever              - 枯草热
hazelnut               - 榛子
head               - 头
head wind              - 头风
head               - 首
headache               - 头痛
hard               - 硬
halitosis               - 口臭
Hall of Fame             - 名堂
hall               - 堂
hare               - 兔
halloysite               - 吃油脂
halloysite               - 石脂
harelip               - 兔唇
halloysite               - 红高岭
halloysite               - 赤石土
halloysite               - 赤石脂
hallucination               - 妄有所见
hallucination               - 妄见
gymnema               - 武靴藤
harm               - 害
hammer               - 椎
gymnotheca               - 水折耳
hamper               - 妨碍
hamper               - 碍
harmonious               - 雍
gynostemma               - 七叶胆
harmonization               - 和法
gynura               - 三七草
ground beetle              - 地鳖
ground beetle              - 地鳖虫
grow               - 长
gruel               - 稀饭
half               - 半
halfbeak               - 鱵+鱼
guard               - 侠
harmonization               - 和解法
gypsum               - 白虎
gypsum               - 石膏
harmonization               - 调和
hand               - 夫
hand               - 手
happiness               - 福
happy               - 乐
harass               - 扰乱
harass               - 闹
halite               - 大青盐
halite               - 戎咸
hard               - 坚硬
apple               - 平波
apple               - 柰
apple               - 柰子
armillaria               - 松蕈
apple               - 苹
apple               - 苹果
all fractures              - 一切折伤
ancient               - 古
amaranth               - 白苋
amaranth               - 苋
and               - 而
amaranth               - 苋菜
andrographis               - 一见喜
amaranth               - 青香苋
andrographis               - 榄核莲
amber               - 兽魄
amber               - 珀
amber               - 琥
acorus               - 菖
acute gastritis              - 急性胃炎
acute gastroenteritis              - 急性胃肠炎
acrid               - 辣
acute pancreatitis              - 急性胰腺炎
acromegaly               - 肢端肥大病
agastache               - 土藿香
acute appendicitis              - 急性阑尾炎
centella               - 连钱草
emilia               - 一点红
coleus               - 金耳环
marsdenia               - 乌骨藤
digenea               - 鹧鸪菜
sweet potato              - 地瓜
ability to eat             - 能吃
able to              - 能
abnormal               - 失常
acetabulum               - 髋臼
abnormal               - 无常
achievement               - 功
achillea               - 一枝蒿
aching bones              - 骨楚
abort               - 堕
abortion               - 半产
abortion               - 小产
abortion               - 流产
abortion               - 胎堕
pakchoi               - 白菜
parmelia               - 石花
shiraia               - 竹黄
garlic               - 大蒜
pea               - 寒豆
elephantopus               - 草鞋底
dry               - 枯
earthworm               - 寒蚓
duckweed               - 田萍
each other              - 互
earthworm               - 曲蟺
each               - 各
earthworm               - 白颈蚯蚓
duckweed               - 萍
each other              - 相
duckweed               - 薸
earthworm               - 虫蟺
eagle               - 鹰
earthworm               - 蚯
earthworm               - 蚯蚓
earthworm               - 蜿蟺
earthworm               - 附蚓
ear lock              - 兑发
dryland               - 旱
earwax               - 耳垢
earwax               - 耳屎
earwax               - 耵
eclipta               - 墨菜
earwax               - 耵聍
eclipta               - 墨记菜
earwax               - 聍
east               - 东
dull pain              - 隐痛
eclipta               - 旱莲草
East Wind              - 东风
dull pain              - 隐隐作痛
dull               - 黯
eclipta               - 莲子草
eclipta               - 鳢肠草
ectopic pregnancy              - 异位妊娠
ear disease              - 耳病
ectropion               - 胞睑外翻
dwarfism               - 侏儒病
dual               - 两
dwell               - 处
dye               - 染
duck               - 鹜
dynamic               - 势
dynasty               - 朝代
dysentery               - 下痢
dysentery               - 痢
dry skin              - 皮肤干燥
dysentery               - 痢疾
dysfunctional uterine bleeding             - 功能性子宫出血
dry eyes              - 目干涩
anorexia nervosa              - 精神性食欲缺乏
apply               - 涂
anorexia               - 食欲缺乏
anoxia               - 缺氧症
apply               - 贴
ant               - 蚁
apprehensive               - 怵
antelope               - 羚
appropriate               - 宜
approximate               - 概
approximately               - 许
apricot kernel              - 木落子
apricot               - 杏
anvil               - 砧
arborvitae               - 柏
aromatic               - 芳
armpit               - 腋窝
aromatic               - 芳香
around               - 绕
arrest               - 顿
aubergine               - 茄
all               - 皆
all               - 诸
all over              - 遍
amber               - 虎魄
anger               - 怒气
allergic rhinitis              - 变态反应性鼻炎
ameba               - 阿米巴
allergic purpura              - 过敏性紫癜
angina pectoris              - 心绞痛
ameba               - 阿米巴原虫
amebic dysentery              - 阿米巴痢疾
amenorrhea               - 经闭不行
allergy               - 过敏
alleviate               - 蠲
amenorrhea               - 闭经
American ginseng              - 佛兰参
anguish               - 懊
American ginseng              - 花旗参
allow               - 许
anguish               - 懊-+
American ginseng              - 西参
All-Round Construction              - 周营
American ginseng              - 西洋参
anxious               - 愁
aorta               - 主动脉
aortic valve              - 主动脉瓣
arborvitae               - 檗
ark               - 蚶
aplastic anemia              - 再生障碍性贫血
dissolve               - 冲化
distal               - 远
distal surface              - 远侧面
dizziness               - 眩晕
dizziness               - 眴
doris               - 海牛
dragonfly               - 蜒
dragonfly               - 蜻
dosage               - 用量
dosage               - 药量
do not eat             - 忌食
doctor               - 医
doctor               - 医师
doctor               - 大夫
double               - 加倍
doctor fish              - 臭都鱼
double               - 双
drift               - 逸
disharmonious               - 乖
distill               - 蒸露
disharmony               - 不和
distillate               - 药露
dissipate               - 发散
distillate               - 露剂
disharmony               - 失调
disharmony               - 逆调
distilled water              - 蒸馏水
distinct               - 晰
dissipate cold              - 散寒
distorted vision              - 目瞀
distress               - 急迫
dissipate heat              - 散热
distress               - 逼迫
ditch               - 沟
diuresis               - 利尿
divergence               - 别
dissipate               - 涣
dissipate               - 涣散
dizziness               - 头晕目眩
disintegrate               - 破削
doctrine               - 说
dislocate               - 脱
dislocation               - 脱位
dislocation               - 脱臼
donkey               - 驴
dragon horn              - 龙角
frequent               - 时时
frontal               - 额
frequent               - 频数
frequent masturbation              - 频犯手淫
obstruction               - 障
old woman              - 婆
old               - 旧
optic neuritis              - 视神经炎
omphalia               - 雷丸
oral liquid              - 口服液
on               - 当
oral cavity              - 口腔
On Channel              - 经中
old               - 陈
orange               - 橙
orchid               - 兰
old tea              - 陈茗
otolith               - 鱼首石
ottelia               - 龙舌草
oven               - 炉
otter               - 獭
nosebleed               - 鼻衄血
oak               - 橡
nostril               - 畜门
oak bark              - 橡木皮
nostril               - 鼻孔
oar               - 桡
oar               - 舟楫
obesity               - 形体肥胖
not               - 不
non-glutinous rice              - 大米
not sound              - 不秘
offspring               - 昆
non-glutinous rice              - 粳米
nongonococcal urethritis (NGU)             - 非淋菌性尿道炎
oil               - 油
orchitis               - 睾丸炎
old tea              - 陈茶
one-sided               - 偏
order               - 秩
oldenlandia               - 白花蛇舌草
onion               - 洋葱
orpiment               - 昆仑黄
onion               - 洋葱头
oreas               - 牛毛七
orpiment               - 雌黄
onion               - 玉葱
oreocharis               - 小岩白菜
onion               - 葱头
only               - 才
only               - 甫
organ               - 器
onset               - 初
organ               - 器官
pimple               - 瘩
placenta               - 胎盘
pimples               - 痤疮
placenta               - 胎衣
pin               - 钉
placenta               - 胞衣
pinch               - 侠
pinch               - 夹
plague               - 鼠疫
pneumococcal pneumonia              - 肺炎球菌肺炎
plain               - 单
pinch               - 挟
pneumococcus               - 肺炎球菌
phragmites               - 苇
platycodon               - 桔
phyllanthus               - 叶下珠
phyllanthus               - 叶合草
phyllanthus               - 叶后珠
phyllanthus               - 珍珠草
pinworm               - 线虫
pinworm               - 蛲
physician               - 医
pleura               - 胸膜
physician               - 医师
pigweed               - 藜
physician               - 医生
pleural effusion              - 胸膜渗液
pleural cavity              - 胸膜腔
pile               - 痔疮
pharyngitis               - 咽炎
pelican               - 鹈
phellinus               - 桑黄
permanent teeth              - 恒齿
pellet               - 弹
perpendicular               - 直
malnutrition               - 营养不良
mace               - 钱
macleaya               - 博落回
malt sugar              - 饴
make               - 制
malt sugar              - 饴糖
malvastrum               - 赛葵
make offerings              - 赛
lygodium               - 海金砂藤
male duck              - 雄鸭
lygodium               - 金砂藤
male genitals              - 鞭
lymph gland              - 淋巴腺
mandarin fish              - 鳜
mandarin duck              - 鸳
menstrual period              - 月经期
minium               - 朱粉
minium               - 松丹
minium               - 红丹
minium               - 铅丹
minium               - 铅华
minium               - 铅黄
midline               - 中行
minium               - 陶丹
menstrual period              - 经期
minium               - 黄丹
melasma               - 化血胆
menstrual flow              - 经水
menstrual blood              - 经血
melissa               - 鼻血草
melon               - 果瓜
melon               - 甘瓜
melon               - 甜瓜
mildew               - 霉
menstruation               - 月信
menstruation               - 月水
menstruation               - 月经
menstruation               - 经水
military               - 军
milk               - 乳汁
mental retardation              - 智能落后
mental               - 精神
menthol               - 薄荷脑
mint               - 南薄荷
mercury               - 汞
mint               - 猫儿薄荷
mint               - 番荷菜
mint               - 薄苛
mint               - 薄荷
mesentery               - 肠系膜
mint               - 薄荷草
mistaken               - 缪
mistletoe               - 寄生
mistletoe               - 寄生树
mistletoe               - 寄生草
mirabilite               - 盆消
mistletoe               - 桑上寄生
mirabilite               - 芒硝
mistletoe               - 桑寄
mistletoe               - 桑寄生
mirror               - 鉴
mirror               - 镜
mountain belt              - 山廓
mitral valve              - 僧帽瓣
mix               - 混
alleviate               - 蠲
amenorrhea               - 闭经
American ginseng              - 佛兰参
anguish               - 懊
American ginseng              - 花旗参
allow               - 许
anguish               - 懊-+
American ginseng              - 西参
All-Round Construction              - 周营
American ginseng              - 西洋参
anxious               - 愁
aorta               - 主动脉
aortic valve              - 主动脉瓣
arborvitae               - 檗
ark               - 蚶
aplastic anemia              - 再生障碍性贫血
apluda               - 水蔗草
aponeurosis               - 腱膜
appendectomy               - 阑尾切除术
arm               - 手
appendicitis               - 阑尾炎
appendix               - 阑尾
arm               - 手臂
arm               - 膊
appetite               - 食欲
apple               - 天然子
arm               - 臂膊
apple               - 平波
apple               - 柰
apple               - 柰子
armillaria               - 松蕈
apple               - 苹
apple               - 苹果
all fractures              - 一切折伤
ancient               - 古
amaranth               - 白苋
amaranth               - 苋
and               - 而
amaranth               - 苋菜
andrographis               - 一见喜
amaranth               - 青香苋
andrographis               - 榄核莲
amber               - 兽魄
amber               - 珀
amber               - 琥
acorus               - 菖
acute gastritis              - 急性胃炎
acute gastroenteritis              - 急性胃肠炎
acrid               - 辣
acute pancreatitis              - 急性胰腺炎
originally               - 本
arsenopyrite               - 礜石
assess               - 审
assess               - 揆
aversion to cold             - 恶冷
arteriosclerosis               - 动脉硬化
artery               - 动脉
assist               - 赞
arthritis               - 关节炎
aversion               - 相恶
antenoron               - 金线草
apricot               - 杏子
antepartum               - 临蓐
apricot               - 杏实
antepartum               - 产前
antepartum               - 胎前
areca               - 榔
anterior               - 前
areca               - 槟
apricot kernel              - 杏核仁
apricot kernel              - 杏梅仁
aster [root]              - 紫苑
avocado               - 樟梨
avocado               - 酪梨
Aster Powder              - 紫菀散
artichoke               - 朝鲜蓟
avocado               - 鳄梨
avocado               - 黄油梨
aster [root]              - 紫菀茸
avoid               - 免
articular               - 关节
aster [root]              - 紫蒨
aster [root]              - 返魂草根
as               - 如
aster [root]              - 青菀
asarum               - 小辛
avoid               - 避
asarum               - 细辛
asthma               - 气喘
await               - 须
Asthma               - 气端
awaken               - 寤
asbestos               - 不灰木
astragalus [root]              - 绵黄-+
ascariasis               - 蛔虫病
awl               - 锥
ascending colon              - 升结肠
ax               - 斧
ascites               - 腹水
axilla               - 腋窝
intimidate               - 凌
intractable               - 痼
inhale               - 吸气
inherit               - 嗣
instep               - 跗
intermittent               - 时作时休
intersection point              - 交会穴
institute               - 院
intermittent               - 时发时止
instructions               - 嘱
intermittent               - 时时
insufferable               - 不可忍
intermittent               - 闰
insufficiency               - 不足
injury               - 损伤
interstices               - 腠理
ink               - 墨
insufficient               - 不足
ink [NID]              - 墨
ink               - 香墨
insufflation               - 吹药
internal damage              - 内伤
intestinal obstruction              - 肠梗阻
intangible               - 无形
Inner Court              - 内庭
indiscriminate use              - 概用
inflammatory               - 炎性的
inhibited               - 不利
inhibited               - 不畅
infection               - 传染
infection               - 感染
inferior               - 卑
insomnia               - 不得眠
insomnia               - 不眠
infertility               - 不妊
insomnia               - 不睡
infertility               - 不孕
infertility               - 女性不孕症
insomnia               - 失眠
Infertility               - 绝孕
insomnia               - 无眠
inspect               - 审
inspect               - 察
interlocking               - 错
intermediary               - 间
inhibition               - 不利
inflate               - 膨
indistinct               - 渺
inflation               - 膨胀
indeed               - 审
bottle gourd              - 蒲芦
breakdown               - 不
breakdown               - 失司
bottom               - 底
breakdown               - 失权
breakdown               - 无权
botulism               - 肠菌毒病
breakfast               - 早餐
borax               - 大朋砂
breakfast               - 早饭
borax               - 月石
borax               - 盆砂
borax               - 硼
bountiful               - 丰
borax               - 蓬砂
breast               - 乳房
borax               - 西月石
borax               - 鹏砂
border               - 际
bow               - 弓
borderland               - 蕃
breast milk              - 乳汁
bore               - 穿
bore               - 钻
borneol               - 冰片
blue               - 绀
blue               - 蓝
bolt               - 楗
blood block              - 血闭
bluebeard               - 兰香草
bluebeard               - 山薄荷
Bone Growth              - 成骨
blurred vision              - 目糊
blurred vision              - 目视-+
blurred vision              - 目视-+-+
blurred vision              - 目视-+-+无所见
blurred vision              - 目视模糊
blurred vision              - 视物-+-+
blurred vision              - 视物模糊
blurred vision              - 视物模糊不清
bone fracture              - 骨折
bloodletting               - 出血
boar               - 豭
bloodletting               - 放血
board               - 板
bone pain              - 骨痛
boat               - 舟
boat               - 舟楫
bone               - 骸
boat               - 船
hair loss              - 发堕
hair loss              - 发落
hair               - 发髲
harsh               - 烈
harsh               - 酷
hair               - 毛发
hasten               - 催
hat               - 帽
have not              - 冇
have not              - 无
have               - 有
hay fever              - 枯草热
hazelnut               - 榛子
head               - 头
head wind              - 头风
head               - 首
headache               - 头痛
hard               - 硬
halitosis               - 口臭
Hall of Fame             - 名堂
hall               - 堂
hare               - 兔
halloysite               - 吃油脂
halloysite               - 石脂
harelip               - 兔唇
halloysite               - 红高岭
halloysite               - 赤石土
halloysite               - 赤石脂
hallucination               - 妄有所见
hallucination               - 妄见
gymnema               - 武靴藤
harm               - 害
hammer               - 椎
gymnotheca               - 水折耳
hamper               - 妨碍
hamper               - 碍
harmonious               - 雍
gynostemma               - 七叶胆
harmonization               - 和法
gynura               - 三七草
ground beetle              - 地鳖
ground beetle              - 地鳖虫
grow               - 长
gruel               - 稀饭
half               - 半
halfbeak               - 鱵+鱼
guard               - 侠
harmonization               - 和解法
gypsum               - 白虎
gypsum               - 石膏
rice bean              - 朱赤豆
rice husk              - 杵头糠
rip               - 扯
rip               - 撕
rheumatism               - 风湿
rise               - 起
residual heat              - 余热未尽
regulated               - 自调
remedy               - 方技
rehabilitation               - 复康
resin               - 脂
remolars               - 前臼齿
remove oil              - 去油
resistance               - 抵抗力
remove the skin             - 去皮
Return               - 归来
remove               - 没
review               - 审
revise               - 校
restraining               - 相克
resuscitation               - 苏厥
rice               - 米
revive               - 兴
retainer               - 约束
revolve               - 旋
rice water              - 米沉
rice water              - 米泔水
rice husk              - 米皮糠
rice wine              - 米酒
retching               - 呕逆
reineckea               - 吉祥草
renal function              - 肾功能
renal artery              - 肾动脉
renal pelvis              - 肾盂
renal calculi              - 肾结石
renal failure              - 肾衰竭
respiration               - 呼吸
rib               - 肋骨
respiratory failure              - 呼吸衰竭
respiratory tract              - 息道
render               - 烊化
respond to              - 应
pyuria               - 脓尿
radermachera               - 菜豆树
radial artery              - 桡动脉
radish               - 土酥
radish               - 罗服
radish               - 莱菔
quaff               - 顿服
radish               - 菜头
good               - 好
gland               - 腺
glans penis              - 阴头
ginger               - 地辛
ginger               - 姜
glass               - 玻
glass cup              - 玻璃罐
ginger               - 姜仔
glass               - 璃
ginger juice              - 姜汁
glutinous rice              - 糯
glutinous rice              - 糯米
ginger juice              - 鲜生姜汁
glutinous rice flour             - 糯米粉
glaucoma               - 绿内障
glycerine               - 甘油
glaucoma               - 青光眼
glazing               - 釉
golden eagle              - 雕
good               - 良
goodyera               - 斑叶兰
ginseng               - 土精
ginseng               - 神草
girardinia               - 大荃麻
girdling fire cinnabar             - 缠腰火丹
genitalia               - 生殖器
GIV               - 带脉
giant typhonium              - 独角莲
genitals               - 下阴
give               - 与
give               - 付
genitals               - 前阴
genitals               - 生殖器
golden carp              - 鲫
grade               - 品
gradual onset              - 徐发
gradual               - 渐
gm               - 公克
generalized               - 周
generalized               - 周身
ginseng               - 东洋参
Chinese olive              - 榄
Chinese olive              - 橄
chlorophytum               - 三角草
choke               - 呛
choke               - 懿
childbearing               - 生育
chest               - 膻
childbirth               - 免乳
childbirth               - 免身
scaly skin              - 肌若鱼鳞
scleroderma               - 硬皮病
scoparia               - 野甘草
scorch               - 烁
margin               - 际
meal               - 餐
mark               - 痕
market               - 市
mean               - 曰
mean               - 爰
measles               - 痧子
mania               - 狂易
mandarin               - 柑
measles               - 麻疹
medial malleolus              - 内踝
medial               - 正
mediastinum               - 纵隔
medical matters              - 医物
melon               - 银瓜
melon               - 青皮瓜
melon               - 香瓜
melon               - 黄金瓜
medication               - 用药
metabolism               - 新陈代谢
Metacarpophalangeal               - 指掌
millet               - 小米
manipulate               - 操
marten               - 貂
manipulation               - 手法
manipulation               - 操纵
martial               - 武
manna               - 刺糖
manna               - 刺蜜
massage               - 按摩
manna               - 羊刺蜜
massage               - 按蹻
manna               - 阳塔克西克尔
manna               - 骆驼刺糖
mansion               - 府
mastitis               - 乳腺炎
mat               - 席
mat               - 茵
material               - 料
mantis               - 螳
maternal               - 母
mantis               - 螳螂
matting               - 篱
mature               - 陈
dendrobium               - 禁生
dianthus               - 瞿
nosebleed               - 鼻衄
gypsum               - 细理石
hand               - 手丫
gypsum               - 细石
gypsum               - 软石膏
hack               - 喀
harmonize               - 和解
handful               - 把
haggard               - 悴
hang               - 吊
harmonize               - 调和
hang down              - 垂
hang               - 挂
hair               - 乱发
hair               - 发
hair loss              - 发堕
hair loss              - 发落
hair               - 发髲
harsh               - 烈
harsh               - 酷
hair               - 毛发
hasten               - 催
hat               - 帽
have not              - 冇
have not              - 无
have               - 有
hay fever              - 枯草热
hazelnut               - 榛子
head               - 头
head wind              - 头风
head               - 首
headache               - 头痛
hard               - 硬
halitosis               - 口臭
Hall of Fame             - 名堂
hall               - 堂
hare               - 兔
halloysite               - 吃油脂
halloysite               - 石脂
harelip               - 兔唇
halloysite               - 红高岭
halloysite               - 赤石土
halloysite               - 赤石脂
hallucination               - 妄有所见
hallucination               - 妄见
gymnema               - 武靴藤
harm               - 害
hammer               - 椎
gymnotheca               - 水折耳
hamper               - 妨碍
lizard               - 蜥蜴
spinach               - 角菜
asparagus bean              - 豇豆
elder               - 接骨草
lysimachia               - 过路黄
watermelon               - 水瓜
umbilicaria               - 灵芝
carcinoma of the uterine cervix           - 子宫颈癌
numbness of the tongue            - 舌麻
back of the throat            - 喉底
thrombophlebitis               - 血栓性静脉炎
thrombosis               - 血栓
throughout               - 彻
three               - 参
throw               - 丢
throw               - 投
thrush               - 鹅口疮
thud               - 憺
thumb               - 大指
thumb               - 手大指
thumb               - 拇
thumb               - 母指
thump               - 挫
thumping               - 振法
toad               - 蟾
thirst               - 口渴
therefore               - 故
thirst               - 渴
Three Kingdoms              - 三国
this               - 兹
this               - 是
three corpses              - 三尸
thoracic               - 胸
thoracic vertebrae              - 胸椎骨
thoracic cavity              - 胸腔
throat               - 咙
throat               - 咽
throat               - 咽喉
tight               - 秘
tetany               - 发痉
tetany               - 痉病
tend               - 偏
tetrastigma               - 五爪金龙
thamnolia               - 雪茶
thin               - 瘦
thank               - 谢
tender               - 嫩
thin               - 稀
that               - 尔
that               - 彼
adjuvant               - 副料
acupuncture               - 刺法
adjuvant               - 辅料
aglaia               - 米仔兰
admire               - 景
acupuncture point              - 穴位
acupuncture point              - 穴道
adrenal glands              - 肾上腺
agriculture               - 农
Advance               - 前进
acupuncture point              - 输穴
advance               - 迈
acupuncture               - 针刺
advanced stage              - 后期
acupuncture               - 针法
abstraction               - 精神恍惚
absurd               - 谬
abdominal pain              - 腹痛
abundance               - 殷
abundant               - 裕
abyss               - 渊
abdominal examination              - 腹诊
abdominal discomfort              - 腹部不适
accelerate               - 增快
accelerate               - 增速
accompanied by              - 伴有
abduction               - 导法
accompany               - 伴
accumulate               - 潴留
abductor               - 外展肌
accumulate               - 累
abhor               - 憎
sphagnum               - 满天星
ganoderma               - 灵芝
foaming at the mouth            - 口吐白沫
tip of the nose            - 鼻准
acorus               - 菖
acute gastritis              - 急性胃炎
acute gastroenteritis              - 急性胃肠炎
acrid               - 辣
acute pancreatitis              - 急性胰腺炎
acromegaly               - 肢端肥大病
agastache               - 土藿香
acute appendicitis              - 急性阑尾炎
centella               - 连钱草
emilia               - 一点红
coleus               - 金耳环
marsdenia               - 乌骨藤
digenea               - 鹧鸪菜
sweet potato              - 地瓜
pea               - 寒豆
sweet potato              - 山芋
elder               - 接骨木
potato               - 土豆
turnip               - 大芥
jujube               - 枣子
ludwigia               - 水丁香
adina               - 水杨梅
duckweed               - 水花
rotala               - 水苋菜
abdomen               - 肚
abdominal pain              - 肚疼
abdominal pain              - 肚痛
abdominal aorta              - 腹主动脉
absorption               - 吸收
abstraction               - 恍
celery               - 芹菜
vallisneria               - 苦草
lizard               - 蜥蜴
spinach               - 角菜
asparagus bean              - 豇豆
elder               - 接骨草
lysimachia               - 过路黄
watermelon               - 水瓜
umbilicaria               - 灵芝
carcinoma of the uterine cervix           - 子宫颈癌
numbness of the tongue            - 舌麻
back of the throat            - 喉底
arsenopyrite               - 礜石
assess               - 审
assess               - 揆
aversion to cold             - 恶冷
arteriosclerosis               - 动脉硬化
artery               - 动脉
assist               - 赞
arthritis               - 关节炎
aversion               - 相恶
antenoron               - 金线草
apricot               - 杏子
antepartum               - 临蓐
apricot               - 杏实
antepartum               - 产前
antepartum               - 胎前
areca               - 榔
anterior               - 前
areca               - 槟
apricot kernel              - 杏核仁
apricot kernel              - 杏梅仁
aster [root]              - 紫苑
avocado               - 樟梨
impairment               - 不
impairment               - 失权
human umbilical cord             - 坎气
hypecoum               - 角茴香
human skull              - 天灵盖
impairment               - 失职
hyperactive               - 弄
impairment               - 无权
impede               - 痹阻
impede               - 阻碍
humerus               - 肱骨
humerus               - 膊骨
humerus               - 臑骨
impediment               - 痹
hypercapnia               - 血碳酸过度
impediment               - 痹痛
hyperopia               - 远视
hypersplenism               - 脾功能亢进
hump               - 隆
hypertension               - 血压高
hypertension               - 高血压
humpback               - 腰背偻俯
hypertension               - 高血压病
hyperthyroidism               - 甲亢
hyperthyroidism               - 甲状腺机能亢进症
hunchback               - 隆背
impotence               - 阳萎
impotence               - 阳萎不举
idiopathic thrombocytopenic purpura             - 原发性血小板减少性紫癜
horse chestnut              - 娑罗子
horse               - 马
houttuynia               - 侧耳根
houttuynia               - 十药
houttuynia               - 岑草
houttuynia               - 猪鼻孔
houttuynia               - 紫背鱼腥草
houttuynia               - 紫蕺
houttuynia               - 臭腥草
huddle               - 啬
houttuynia               - 臭蕺
huff               - 膹
houttuynia               - 臭质草
houttuynia               - 蒩菜
houttuynia               - 蕺
houttuynia               - 蕺菜
huge               - 庞
houttuynia               - 鱼腥草
hydrocephalus               - 水脑
hugging               - 挽指法
immortal               - 仙
jujube               - 大枣
jujube               - 干枣
isatis root              - 板蓝根
isatis root              - 蓝靛根
isatis root              - 靛青根
ischium               - 坐骨
islet               - 渚
issue               - 出
Japanese               - 倭
itch               - 发痒
itch               - 奇痒
itch               - 瘙
jade               - 玉
join               - 接
joining               - 透针
joint               - 关节
Jade Spring              - 玉泉
iron               - 铁
iron ore              - 铁
internal carotid artery             - 颈内动脉
intravenous drip              - 静脉滴注
internal jugular vein             - 颈内静脉
iron broom              - 铁扫竹
introduction               - 概论
jaundice               - 黄瘅
jaw               - 颌
itchy skin              - 皮肤瘙痒
itchy eyes              - 目痒
jealous               - 妒
jejunum               - 空肠
itchy nose              - 鼻痒
item               - 品
intense heat              - 炅
inner canthus              - 内眦
intestinal tract              - 肠道
inula               - 旋覆梗
inula               - 金佛草
iron powder              - 铁粉
inula               - 金沸草
invade               - 侵袭
invasion               - 侵入
invasion               - 侵袭
irregular               - 失常
inhibitory effect              - 抑制作用
instep               - 胕
initial               - 初
instep               - 足趺
instep               - 趺
initial stage              - 初起
initial stage              - 发病期
bloodletting               - 出血
boar               - 豭
bloodletting               - 放血
board               - 板
bone pain              - 骨痛
boat               - 舟
boat               - 舟楫
bone               - 骸
boat               - 船
bobbing               - 厥厥
blood stasis              - 血瘀
blood pressure              - 血压
blood vessels              - 血管
blood sugar              - 血糖
bloody stool              - 大便下血
bloody stool              - 大便出血
bloody stool              - 血便
blood vessel              - 血脉
boil               - 沸
boil               - 煨水
boil               - 熬
blow               - 吹气
boschniakia               - 草苁蓉
blind               - 瞎
blindness               - 视觉缺失
bladder disease              - 膀胱病
blink               - 眨
blink               - 瞬
blinking               - 目眨
blistering               - 发泡
blistering               - 提泡
blistering               - 起泡
bloating               - 饱胀
block               - 拦
blood               - 血液
blood circulation              - 血液循环
blood thirst              - 血渴
blood heat              - 血热
blood loss              - 出血
bleed               - 放血
bleeding               - 出血
bleeding wound              - 创伤出血
bleeding               - 流血
black eye              - 眼胞瘀痛
black tea              - 红茶
blemish               - 疵
blepharoptosis               - 睑下垂
blood loss              - 失血
bicuspids               - 二尖齿
black soy              - 豆黄
string               - 穿
subluxation               - 不全脱位
string               - 绳
sudden reversal              - 薄厥
white wax              - 蜂白蜡
west               - 西
white cabbage              - 西土蓝
white face              - 面白
water spinach              - 藤藤菜
warm               - 暖
watermelon               - 夏瓜
watermelon               - 天生白虎汤
water trough              - 水沟
watermelon               - 寒瓜
watermelon               - 西瓜
thrombophlebitis               - 血栓性静脉炎
thrombosis               - 血栓
throughout               - 彻
three               - 参
throw               - 丢
throw               - 投
thrush               - 鹅口疮
thud               - 憺
thumb               - 大指
thumb               - 手大指
thumb               - 拇
thumb               - 母指
thump               - 挫
thumping               - 振法
toad               - 蟾
thirst               - 口渴
therefore               - 故
thirst               - 渴
Three Kingdoms              - 三国
this               - 兹
this               - 是
three corpses              - 三尸
thoracic               - 胸
thoracic vertebrae              - 胸椎骨
thoracic cavity              - 胸腔
throat               - 咙
throat               - 咽
throat               - 咽喉
tight               - 秘
tetany               - 发痉
tetany               - 痉病
tend               - 偏
tetrastigma               - 五爪金龙
thamnolia               - 雪茶
thin               - 瘦
